,Date,Name,Sector,MCAP [M],Open [$],Close [$],% Change,Volume,Avg. Vol.,Avg. 10D Vol.,EPS est.,Trailing EPS,Forward EPS,% of 200DMA,% of 50DMA,Forward PE,% Inst. Holdings,Float,% Short Float
EV,2020-11-24,Eaton Vance Corp,Financial Services,7442.68,64.58,64.27,0.48,1264026,1577563,1909042,0.87,2.51,3.53,53.37,20.25,18.32,70.69,104680846,5.31
ANF,2020-11-24,Abercrombie & Fitch Co,Consumer Cyclical,1127.08,18.8,18.74,0.32,2414247,2413092,2686728,-0.1,-2.38,0.81,51.69,21.9,22.31,98.64,57097652,23.37
AEO,2020-11-24,American Eagle Outfitters Inc,Consumer Cyclical,2551.51,15.98,15.9,0.5,4182440,6519716,5116300,0.32,-1.12,1.18,34.85,9.04,13.02,114.33,138627102,23.09
HRL,2020-11-24,Hormel Foods Corp,Consumer Defensive,28038.03,51.3,50.94,0.71,1461150,1632684,1996185,0.44,1.7,1.82,4.3,4.0,28.55,47.22,280925315,8.79
DLTR,2020-11-24,Dollar Tree Inc,Consumer Defensive,22382.89,95.99,94.97,1.07,1463167,2018816,1706185,1.15,3.73,5.8,5.19,3.64,16.26,91.84,233992509,1.92
GPS,2020-11-24,Gap Inc,Consumer Cyclical,8517.92,23.4,23.34,0.26,4378291,9772789,7238628,0.3,-2.78,1.29,64.41,20.64,17.67,59.33,267496375,11.09
GES,2020-11-24,Guess? Inc,Consumer Cyclical,852.38,14.2,14.11,0.64,720150,1296766,1145957,0.05,-1.32,1.24,27.91,10.43,10.81,71.41,37653584,44.32
GLNG,2020-11-24,Golar LNG Ltd,Energy,897.32,9.21,9.04,1.88,696291,1913912,1037571,-0.07,-3.26,0.04,12.44,16.96,229.38,79.3,78553320,11.21
HPQ,2020-11-24,HP Inc,Technology,26590.96,19.92,19.87,0.25,9471304,9849841,8995400,0.52,1.77,2.35,12.45,5.22,8.24,83.84,1370269018,1.63
PSTG,2020-11-24,Pure Storage Inc,Technology,4750.05,17.58,17.34,1.38,2024129,4243576,3197457,-0.01,-0.73,0.28,7.01,3.89,63.25,88.61,248644611,6.96
